date,aqi_index,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,humidity,pressure,wind_speed,day_of_week,month,season,is_weekend,aqi_lag_1,aqi_lag_2,aqi_lag_7,aqi_3day_avg,aqi_7day_avg,aqi_30day_avg,temp_humidity_interaction,pressure_wind_interaction,pm25_pm10_ratio,co_no2_ratio
2025-03-11,3.75,2946.2175,26.88125,83.16791666666667,65.08083333333333,18.453333333333333,146.29041666666666,187.3970833333333,28.01083333333333,27.4,52.0,1012.6,8.1,1,3,2,0,3.7083333333333335,4.208333333333333,4.333333333333333,3.888888888888889,3.6521739130434785,3.7901049475262365,1424.8,8202.06,0.780644038230883,35.4249280570942
2025-03-12,2.9166666666666665,694.5524999999999,4.05375,20.17375,59.26166666666666,5.99125,31.42,60.20541666666667,6.165416666666666,27.2,62.0,1010.3,9.6,2,3,2,0,3.75,3.7083333333333335,3.0,3.4583333333333335,3.6382850241545897,3.7297601199400297,1686.3999999999999,9698.88,0.5218799439937446,34.42852546360862
2025-03-13,2.9166666666666665,522.6529166666667,1.4283333333333337,13.449583333333337,77.1575,4.685416666666667,28.761666666666667,63.01541666666666,4.044583333333334,28.0,62.0,1008.5,12.3,3,3,2,0,2.9166666666666665,3.75,3.0,3.194444444444444,3.5351966873706004,3.7067716141929035,1736.0,12404.550000000001,0.45642269355108567,38.8601538689436
2025-03-14,3.0,469.1075,0.8654166666666666,11.180416666666666,86.90333333333332,3.660833333333333,24.947916666666668,67.78375,3.370416666666667,27.3,60.0,1008.7,13.9,4,3,2,0,2.9166666666666665,2.9166666666666665,3.9130434782608696,2.944444444444444,3.4047619047619047,3.6378060969515245,1638.0,14020.93,0.3680515801886896,41.95795845790258
2025-03-15,3.5,773.2708333333334,2.845,21.73,112.08791666666669,10.579166666666667,36.60916666666667,86.69791666666667,10.3625,27.0,48.0,1011.4,10.3,5,3,2,1,3.0,2.9166666666666665,3.333333333333333,3.138888888888889,3.4285714285714284,3.601886556721639,1296.0,10417.42,0.42226119902233866,35.58540256548232
2025-03-16,4.125,903.4470833333334,3.0695833333333336,27.18208333333333,99.10791666666668,11.296666666666669,49.40083333333333,122.26333333333334,13.325,26.6,42.0,1012.7,9.0,6,3,2,1,3.5,3.0,4.208333333333333,3.5416666666666665,3.4166666666666665,3.629185407296352,1117.2,9114.300000000001,0.40405272441408385,33.236858228176345
2025-03-17,3.9583333333333335,1326.52125,7.854166666666667,40.82083333333333,74.64708333333333,11.149166666666666,62.6175,129.95916666666668,16.85375,26.3,48.0,1013.1,8.8,0,3,2,0,4.125,3.5,3.7083333333333335,3.861111111111111,3.452380952380952,3.662231384307846,1262.4,8915.28,0.48182441550109134,32.49618170877987
2025-03-18,3.125,1080.91,7.512083333333333,31.02,70.98916666666666,8.910833333333333,43.67666666666667,84.02041666666666,9.757083333333334,25.4,64.0,1012.1,8.3,1,3,2,0,3.9583333333333335,4.125,3.75,3.736111111111111,3.3630952380952377,3.678035982008996,1625.6,8400.43,0.5198339627392078,34.84558237119335
2025-03-19,2.7916666666666665,441.84875000000005,0.8166666666666668,12.197083333333332,80.94375000000001,4.882083333333333,20.13208333333333,52.67541666666667,3.847083333333333,25.8,67.0,1012.9,10.8,2,3,2,0,3.125,3.9583333333333335,2.9166666666666665,3.2916666666666665,3.3452380952380953,3.610507246376812,1728.6000000000001,10939.32,0.38219124261587084,36.22576821843189
2025-03-20,2.875,554.2233333333334,1.3391666666666666,16.507083333333334,83.38666666666667,6.338333333333334,25.83458333333333,57.73458333333334,5.0575,26.2,69.0,1014.3,10.5,3,3,2,0,2.7916666666666665,3.125,2.9166666666666665,2.9305555555555554,3.3392857142857144,3.599012993503248,1807.8,10650.15,0.44747153948794627,33.574877436966304
